Name,Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit),Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)",Color Group
Dark Terra Cotta,#cc4e5c,204,78,92,353.3,55.3,55.3,Merah Sedang
Dark Turquoise,#00ced1,0,206,209,180.9,100.0,41.0,Cyan Sedang
Dark Violet,#9400d3,148,0,211,282.1,100.0,41.4,Ungu Sedang
Dark Yellow,#9b870c,155,135,12,51.6,85.6,32.7,Oranye Sedang
Dartmouth Green,#00703c,0,112,60,152.1,100.0,22.0,Hijau Gelap
Davy'S Grey,#555,85,85,85,0.0,0.0,33.3,Abu-Abu
Debian Red,#d70a53,215,10,83,338.6,91.1,44.1,Merah Sedang
Deep Carmine,#a9203e,169,32,62,346.9,68.2,39.4,Merah Sedang
Deep Carmine Pink,#ef3038,239,48,56,357.5,85.7,56.3,Merah Sedang
Deep Carrot Orange,#e9692c,233,105,44,19.4,81.1,54.3,Merah Sedang
Deep Cerise,#da3287,218,50,135,329.6,69.4,52.5,Magenta Sedang
Deep Champagne,#fad6a5,250,214,165,34.6,89.5,81.4,Oranye Terang
Deep Chestnut,#b94e48,185,78,72,3.2,44.7,50.4,Merah Sedang
Deep Coffee,#704241,112,66,65,1.3,26.6,34.7,Oranye Sedang
Deep Fuchsia,#c154c1,193,84,193,300.0,46.8,54.3,Magenta Muda
Deep Jungle Green,#004b49,0,75,73,178.4,100.0,14.7,Hijau Gelap
Deep Lilac,#95b,153,85,187,280.0,42.9,53.3,Ungu Sedang
Deep Magenta,#c0c,204,0,204,300.0,100.0,40.0,Magenta Sedang
Deep Peach,#ffcba4,255,203,164,25.7,100.0,82.2,Oranye Terang
Deep Pink,#ff1493,255,20,147,327.6,100.0,53.9,Magenta Sedang
Deep Ruby,#843f5b,132,63,91,335.7,35.4,38.2,Merah Sedang
Deep Saffron,#f93,255,153,51,30.0,100.0,60.0,Merah Muda
Deep Sky Blue,#00bfff,0,191,255,195.1,100.0,50.0,Cyan Sedang
Deep Tuscan Red,#66424d,102,66,77,341.7,21.4,32.9,Merah Sedang
Denim,#1560bd,21,96,189,213.2,80.0,41.2,Biru Sedang
Desert,#c19a6b,193,154,107,32.8,41.0,58.8,Oranye Muda
Desert Sand,#edc9af,237,201,175,25.2,63.3,80.8,Oranye Terang
Dim Gray,#696969,105,105,105,0.0,0.0,41.2,Abu-Abu
Dodger Blue,#1e90ff,30,144,255,209.6,100.0,55.9,Cyan Sedang
Dogwood Rose,#d71868,215,24,104,334.9,79.9,46.9,Magenta Sedang
Dollar Bill,#85bb65,133,187,101,97.7,38.7,56.5,Kuning Sedang
Drab,#967117,150,113,23,42.5,73.4,33.9,Oranye Sedang
Duke Blue,#00009c,0,0,156,240.0,100.0,30.6,Biru Gelap
Earth Yellow,#e1a95f,225,169,95,34.2,68.4,62.7,Oranye Muda
Ebony,#555d50,85,93,80,96.9,7.5,33.9,Abu-Abu
Ecru,#c2b280,194,178,128,45.5,35.1,63.1,Oranye Muda
Eggplant,#614051,97,64,81,329.1,20.5,31.6,Merah Sedang
Eggshell,#f0ead6,240,234,214,46.2,46.4,89.0,Oranye Terang
Egyptian Blue,#1034a6,16,52,166,225.6,82.4,35.7,Biru Gelap
Electric Blue,#7df9ff,125,249,255,182.8,100.0,74.5,Cyan Terang
Electric Crimson,#ff003f,255,0,63,345.2,100.0,50.0,Merah Sedang
Electric Cyan,#0ff,0,255,255,180.0,100.0,50.0,Cyan Muda
Electric Green,#0f0,0,255,0,120.0,100.0,50.0,Hijau Sedang
